no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"94","Lions Rise Mall","22.3398857116699","114.196968078613","Standard;SemiQuick","Kowloon","Wong Tai Sin","8 Muk Lun Street, Wong Tai Sin","Others","","",0
"95","Sheung Fung Street Market","22.3441123962402","114.196937561035","Standard;SemiQuick","Kowloon","Wong Tai Sin","\nSheung Fung Street Market, Sheung Fung Street, Wong Tai Sin\n","Others","","",0
"96","AIA Financial Centre","22.335033416748","114.199325561523","Standard","Kowloon","Wong Tai Sin","712 Prince Edward Road East, Sun Po Kong","Others","","",0
"97","Queensway Government Offices","22.2772960662842","114.163833618164","Standard;SemiQuick","Hong Kong Island","Central and Western","\nQueensway Government Offices, 66 Queensway, Hong Kong\n","Others","","",0
"98","Murray Road Multi-storey Car Park","22.2803325653076","114.162727355957","Standard;SemiQuick","Hong Kong Island","Central and Western","\nMurray Road Multi-storey Car Park, 2 Murray Road, Central\n","Others","","",0
"99","Two International Finance Centre","22.2860260009766","114.158569335938","SemiQuick","Hong Kong Island","Central and Western","\nCar Park B5, Two International Finance Centre, 8 Finance Street, Central\n","Others","","",0
"100","Rumsey Street Multi-storey Car Park","22.2875308990479","114.152137756348","Standard;SemiQuick","Hong Kong Island","Central and Western","\nRumsey Street Multi-storey Car Park, 2 Rumsey Street, Sheung Wan\n","Others","","",0
"101","City Hall Multi-storey Car Park","22.2817783355713","114.161598205566","Standard;SemiQuick","Hong Kong Island","Central and Western","\nCity Hall Multi-storey Car Park, 1 Edinburgh Place, Central\n","Others","","",0
"102","Tin Hau Carpark","22.2830295562744","114.191688537598","SemiQuick","Hong Kong Island","Eastern","\nTin Hau Carpark, 3/F, Lau Sin Street & Electric Road Junction, Tin Hau, Hong Kong\n","Others","","",0
"103","North District Government Offices","22.4953308105469","114.138282775879","Standard;SemiQuick","New Territories","North","\nNorth District Government Offices, 3 Pik Fung Road, Fanling, N.T.\n","Others","","",0
"104","Sai Kung Government Offices","22.3817367553711","114.271789550781","Standard;SemiQuick","New Territories","Sai Kung","\nSai Kung Government Offices, 34 Chan Man Street, Sai Kung, New Territories\n","Others","","",0
"105","Maritime Square","22.3584804534912","114.105545043945","Standard","New Territories","Kwai Tsing","Maritime Square, 33 Tsing King Road, Tsing Yi","Others","","",0
"106","East Point City","22.315637588501","114.265960693359","SemiQuick","New Territories","Sai Kung","East Point City, 8 Chung Wa Road, Tseung Kwan O","Others","","",0
"107","Wan Chai Tower and Immigration Tower","22.2804927825928","114.17276763916","Standard;SemiQuick","Hong Kong Island","Wan Chai","12 Harbour Road, Wan Chai","Others","","",0
"108","Laws Commercial Plaza","22.3380947113037","114.149971008301","SemiQuick","Kowloon","Sham Shui Po","788 Cheung Sha Wan Road, Cheung Sha Wan","Others","","",0
"109","Mikiki","22.3341083526611","114.19702911377","Standard","Kowloon","Wong Tai Sin","638 Prince Edward Road Esat, San Po Kong","Others","","",0
"110","\nTelford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay\n","22.3221912384033","114.213203430176","Standard","Kowloon","Kwun Tong","\nTelford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay\n","Others","","",0
"111","\nYue Wan Estate Carpark, Eastern District, Hong Kong\n","22.2648334503174","114.240249633789","Quick","Hong Kong Island","Eastern","\n1/F, Yue Wan Estate Carpark, Yee Fung Street, Chai Wan, Hong Kong\n","Others","84","",0
"112","Tak Long Estate","22.3287239074707","114.204620361328","Quick","Kowloon","Kowloon City","\nTak Long Estate Carpark 1/F, Kai Tak Development Area\n","CLP","40, 41","/EV/PublishingImages/tak%20long.JPG",0
"113","Kerry Centre","22.2904682159424","114.210182189941","Standard","Hong Kong Island","Eastern","28 Hoi Chak Street, Quarry Bay","Others","","",0
"114","Oxford House","22.2873115539551","114.213020324707","Standard","Hong Kong Island","Eastern","22 Westlands Road, Quarry Bay","Others","","",0
"115","Dorset House","22.287410736084","114.212249755859","Standard","Hong Kong Island","Eastern","41 Tong Chong Street, Quarry Bay","Others","","",0
"116","One Island East","22.2862701416016","114.21305847168","Standard","Hong Kong Island","Eastern","18 Westlands Road, Quarry Bay","Others","","",0
"117","Kai Tak Cruise Terminal","22.3074970245361","114.211959838867","Standard","Kowloon","Kowloon City","33 Shing Fung Road, Kai Tak","Others","","",0
"118","Hung Hom Station Car Park","22.3025379180908","114.181098937988","Standard","Kowloon","Kowloon City","On Wan Road, Hung Hom","Others","","",0
"119","Kai Ching Estate","22.3321514129639","114.203804016113","Standard","Kowloon","Kowloon City","Muk Hung Street, Kowloon City","Others","","",0
"120","One International Finance Centre","22.284574508667","114.157752990723","SemiQuick","Hong Kong Island","Central and Western","1 Harbour View Street","Others","","",0
"121","Hanford Plaza","22.3817367553711","113.976921081543","Standard","New Territories","Tuen Mun","6 Sam Shing Street, Tuen Mum","Others","","",0
"122","Sun Tuen Mun Shopping Centre","22.3808631896973","113.964363098145","Standard","New Territories","Tuen Mun","Tuen Tsing Lane, Lung Mun Road, Tuen Mun","Others","","",0
"123","Kornhill Plaza (south)","22.2841281890869","114.217002868652","Standard","Hong Kong Island","Eastern","18 Hong On Street, Quarry Bay","Others","","",0
"124","North Point Government Offices","22.2919883728027","114.208099365234","Standard;SemiQuick","Hong Kong Island","Eastern","333 Java Road, North Point","Others","","",0
"125","Shau Kei Wan Multi-storey Car Park","22.2789058685303","114.229499816895","Standard;SemiQuick","Hong Kong Island","Eastern","16 Mong Lung Street, Shau Kei Wan","Others","","",0
"126","Cheung Sha Wan Government Offices","22.3320446014404","114.160491943359","Standard;SemiQuick","Kowloon","Sham Shui Po","303 Cheung Sha Wan Road","Others","","",0
"127","Yau Ma Tei Car Park","22.3092842102051","114.170700073242","Standard;SemiQuick","Kowloon","Yau Tsim Mong","58 Temple Street, Yau Ma Tei","Others","","",0
"128","Sha Tin Government Offices","22.3859195709229","114.18724822998","Standard;SemiQuick","New Territories","Shatin","1 Sheung Wo Che Road, Shatin","Others","","",0
"129","Whampoa Plaza","22.3045139312744","114.190353393555","Standard","Kowloon","Kowloon City","7 Tak On Street, Hung Hom","Others","","",0
"130","Ka Wai Chuen","22.3075923919678","114.186309814453","Standard","Kowloon","Kowloon City","10 Station Lane, Ma Tau Wai Road, Hung Hom","Others","","",0
"131","Remington Centre","22.3131122589111","114.219635009766","Standard","Kowloon","Kwun Tong","23 Hung To Road, Kwun Tong","Others","","",0
"132","Shui On Centre","22.2804565429688","114.171325683594","SemiQuick","Hong Kong Island","Wan Chai","8 Harbour Road, Wan Chai","Others","","",0
"133","AIA Tower","22.2881488800049","114.192230224609","Standard","Hong Kong Island","Eastern","28 Wang On Road, Causeway Bay","Others","","",0
"134","Paradise Mall (West)","22.2780895233154","114.239112854004","Standard","Hong Kong Island","Eastern","100 Sing Tai Road, Chai Wan","Others","","",0
"135","Lai Tak Tsuen","22.2783584594727","114.194046020508","Standard","Hong Kong Island","Eastern","16 Lai Tak Tsuen Road, Tai Hang","Others","","",0
"136","Mei Tin Estate","22.3762607574463","114.171104431152","Standard","New Territories","Shatin","Heung Fan Liu Street, Tai Wai","Others","","",0
"137","Ma On Shan Centre","22.4263782501221","114.233116149902","Standard","New Territories","Shatin","1 On Chun Street, Ma On Shan","Others","","",0
"138","New Town Plaza III","22.3800792694092","114.18709564209","Standard","New Territories","Shatin","9 Shatin Centre Street, Shatin","Others","","",0
"139","New Town Plaza I","22.382194519043","114.188804626465","Standard","New Territories","Shatin","18 Shatin Centre Street, Shatin","Others","","",0
"140","Plaza Ascot","22.4001502990723","114.200958251953","Standard","New Territories","Shatin","11 Lok King Street, Fo Tan","Others","","",0
"141","Shatin Plaza","22.3837928771973","114.189521789551","Standard","New Territories","Shatin","21 Shatin Centre Street, Shatin","Others","","",0
"142","The Tolo Place","22.4255027770996","114.229858398438","Standard","New Territories","Shatin","1 On Chun Street, Ma On Shan","Others","","",0
"143","Sunshine City Phase IV","22.4235343933105","114.231117248535","Standard","New Territories","Shatin","18 On Luk Street, Ma On Shan","Others","","",0
"144","Sunshine City Phase III","22.4228897094727","114.231727600098","Standard","New Territories","Shatin","8 On Shing Street, Ma On Shan","Others","","",0
"145","Shatin Galleria","22.3968505859375","114.193458557129","Standard","New Territories","Shatin","13 Shan Mei Street, Fo Tan","Others","","",0
"146","Sheung Shui Centre","22.5005378723145","114.130462646484","Standard","New Territories","North","3 Chi Cheong Road, Sheung Shui","Others","","",0
"147","Tseung Kwan O Plaza","22.3094387054443","114.26163482666","Standard","New Territories","Sai Kung","1 Tong Tak Street, Tseung Kwan O","Others","","",0
"148","PopCorn 2","22.3094062805176","114.261558532715","Standard","New Territories","Sai Kung","1 Tong Tak Street, Tseung Kwan O","Others","","",0
"149","PopCorn 1","22.3083724975586","114.258735656738","Standard","New Territories","Sai Kung","9 Tong Tak Street, Tseung Kwan O","Others","","",0
"150","Maritime Bay","22.3142108917236","114.265312194824","Standard","New Territories","Sai Kung","2 Man Kuk Lane, Pui Shing Road, Tseung Kwan O","Others","","",0
"151","Luk Yeung Sun Chuen","22.37229347229","114.121849060059","Standard","New Territories","Tsuen Wan","22 Wai Tsuen Road, Tsuen Wan","Others","","",0
"152","International Trade Centre","22.3743495941162","114.108009338379","Standard","New Territories","Tsuen Wan","15 Sha Tsui Road, Tsuen Wan","Others","","",0
"153","Town Square","22.3716239929199","114.11840057373","Standard","New Territories","Tsuen Wan","51 Shiu Wo Street, Tsuen Wan","Others","","",0
"154","City Landmark","22.3705806732178","114.117881774902","Standard","New Territories","Tsuen Wan","18 Tak Hoi Street, Tsuen Wan","Others","","",0
"155","Kowloon Shangri-la Hotel","22.2974681854248","114.176887512207","Standard","Kowloon","Yau Tsim Mong","64 Mody Road, Tsim Sha Tsui","Others","","",0
"156","Wealth Commerical Centre","22.3167915344238","114.17350769043","Standard","Kowloon","Yau Tsim Mong","48 Kwong Wa Street, Mong Kok","Others","","",0
"157","Park-In Commercial Centre","22.3154621124268","114.171272277832","Standard","Kowloon","Yau Tsim Mong","56 Dundas Street, Yau Ma Tei","Others","","",0
"158","Elements (South)","22.3040962219238","114.159973144531","Standard","Kowloon","Yau Tsim Mong","Nga Cheung Road, Tsim Sha Tsui","Others","","",0
"159","Elements (North)","22.306697845459","114.161155700684","Standard","Kowloon","Yau Tsim Mong","Nga Cheung Road, Tsim Sha Tsui","Others","","",0
"160","Hong Kong Scout Centre","22.3024673461914","114.169158935547","Standard","Kowloon","Yau Tsim Mong","10 Scout Path, Austin Road, Tsim Sha Tsui","Others","","",0
"161","Aqua Marine (JUSCO Car Park)","22.3331871032715","114.148574829102","Standard","Kowloon","Sham Shui Po","8 Sham Shing Road, Lai Chi Kok","Others","","",0
"162","Manhattan Hill","22.3343048095703","114.142524719238","Standard","Kowloon","Sham Shui Po","1 Po Lun Street, Lai Chi Kok","Others","","",0
"163","Kowloon Plaza","22.3383007049561","114.14917755127","Standard","Kowloon","Sham Shui Po","1008 Tai Nan West Street, Cheung Sha Wan","Others","","",0
"164","Dragon Centre","22.3399715423584","114.149429321289","Standard","Kowloon","Sham Shui Po","104-110 King Lam Street, Cheung Sha Wan","Others","","",0
"165","CEO Tower","22.3393592834473","114.149322509766","Standard","Kowloon","Sham Shui Po","77-79 Wing Hong Street, Cheung Sha Wan","Others","","",0
"166","Garden Estate (Lotus Tower)","22.317663192749","114.217323303223","Standard","Kowloon","Kwun Tong","On Shin Road, Ngau Tau Kok, Kwun Tong","Others","","",0
"167","Lower Ngau Tau Kok Estate","22.3207054138184","114.215644836426","Standard","Kowloon","Kwun Tong","183 Ngau Tau Kok Road, Kwun Tong","Others","","",0
"168","Domain","22.2969417572021","114.23950958252","Standard","Kowloon","Kwun Tong","80 Lei Yue Mun Road, Yau Tong","Others","","",0
"169","Octa Tower","22.3155784606934","114.212265014648","Standard","Kowloon","Kwun Tong","3 Kai Hing Road, Kowloon Bay","Others","","",0
"170","Everest Industrial Centre","22.3128681182861","114.222183227539","Standard","Kowloon","Kwun Tong","85 How Ming Street, Kwun Tong","Others","","",0
"171","Camelpaint Building","22.310697555542","114.225021362305","Standard","Kowloon","Kwun Tong","62 Hoi Yuen Road, Kwun Tong","Others","","",0
"172","Proficient Industrial Centre","22.3226890563965","114.20824432373","Standard","Kowloon","Kwun Tong","6 Wang Kwun Road, Kowloon Bay","Others","","",0
"173","Pacific Trade Centre","22.3158416748047","114.212532043457","Standard","Kowloon","Kwun Tong","1 Kai Hing Road, Kowloon Bay","Others","","",0
"174","Telford Plaza II","22.3210048675537","114.21297454834","Standard","Kowloon","Kwun Tong","33 Wai Yip Street, Kwun Tong","Others","","",0
"175","Convention Plaza (Expo Drive Central Road) Carpark","22.2825965881348","114.173751831055","Standard","Hong Kong Island","Wan Chai","Expo Drive Central, Wan Chai","Others","","",0
"176","Convention Plaza (Harbour Road) Carpark","22.2806835174561","114.17529296875","Standard","Hong Kong Island","Wan Chai","25 Harbour Road, Wan Chai","Others","","",0
"177","Telford Plaza Phase 1","22.3221912384033","114.213203430176","Standard","Kowloon","Kwun Tong","\nTelford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay\n","Others","","",0
"178","Sheung Tak Plaza","22.3104114532471","114.258033752441","Quick","New Territories","Sai Kung","\nCarpark B, Sheung Tak Plaza 2 Tong Ming Street, Tseung Kwan O, New Territories\n","CLP","B010 & B011","/EV/PublishingImages/sheung%20tak.JPG",0
"179","Nina Tower","22.3688278198242","114.113906860352","Quick","New Territories","Tsuen Wan","\nNina Tower Carpark, UB/F, 8 Yueng Uk Road, Tsuen Wan\n","CLP","05-06","\n/EV/PublishingImages/common/map/Entrance_Nina%20Tower.jpg\n",0
"180","Tuen Mun Town Plaza I","22.3935165405273","113.976783752441","Quick","New Territories","Tuen Mun","\nTuen Mun Town Plaza Carpark, 4/F Tuen Mun Town Plaza Ph1, 1 Tuen Shun St, Tuen Mun, NT\n","CLP","4153-4154","/EV/PublishingImages/EVQC%20-%20Tuen%20Mun.JPG",0
"181","Uptown Plaza","22.4442234039307","114.168502807617","Quick","New Territories","Tai Po","Uptown Plaza Carpark, 2/F, Uptown Plaza, Tai Po","CLP","R101","/EV/PublishingImages/EVQC%20-%20Uptown%20Plaza.JPG",0
"182","Tin Shing Court","22.44948387146","114.001953125","SemiQuick","New Territories","Yuen Long","\nTin Shing Court Carpark, 3/F, 3 Tin Ching Street, Tin Shui Wai,Yuen Long, N.T.\n","CLP","3183-3186","\n/EV/PublishingImages/common/map/map_thumb/Tin%20Shing%20Court.jpg\n",0
"183","Pioneer Centre","22.3226432800293","114.169326782227","SemiQuick","Kowloon","Yau Tsim Mong","\nPioneer Centre Car Park, 750 Nathan Road, Mong Kok, Kowloon\n","Others","","\n/EV/PublishingImages/Station%20Photos/Pioneer%20Centre.PNG\n",0
"184","Asia Orient Tower","22.2787990570068","114.169677734375","SemiQuick","Hong Kong Island","Wan Chai","52 Jaffe Rd, Wan Chai","Others","Tesla only","",0
"185","Cathay Pacific City","22.298282623291","113.933906555176","SemiQuick","Outlying Islands","Outlying Islands","8 Scenic Rd, Chek Lap Kok","Others","","",0
"186","Choi Hung Park-and-Ride Public Car Park","22.3342418670654","114.210273742676","SemiQuick","Kowloon","Wong Tai Sin","2/F-8/F, No.8 Clear Water Bay Road","Others","","",0
"187","Chung On Shopping Centre","22.4220676422119","114.227081298828","Quick","New Territories","Shatin","Sai Sha Rd, Ma On Shan","Others","BYD only","",0
"188","Coronation Circle","22.3095855712891","114.16633605957","Standard","Kowloon","Yau Tsim Mong","1 Yau Cheung Rd, Yau Ma Tei","Others","","",0
"189","\nElectrical and Mechanical Services Department Headquarters\n","22.3258056640625","114.204681396484","SemiQuick","Kowloon","Kwun Tong","3 Kai Shing Street, Kowloon Bay","Others","For permitted visitor only.","",0
"190","Fu Shin Shopping Centre","22.4543685913086","114.174835205078","Quick","New Territories","Tai Po","12 On Po Rd, Tai Po","Others","BYD only","",0
"191","Fu Tai Shopping Centre","22.4127731323242","113.983123779297","Quick","New Territories","Tuen Mun","9 Tuen Kwai Rd, Fu Tei, Tuen Mun","Others","BYD only","",0
"192","Grand Central Plaza","22.3859786987305","114.187423706055","Standard","New Territories","Shatin","\n138 Shatin Rural Committee Road & Pai Tau St, Sha Tin\n","Others","","",0
"193","Hing Wah Plaza","22.2628288269043","114.236206054688","Quick","Hong Kong Island","Eastern","11 Wan Tsui Rd, Chai Wan","Others","BYD only","",0
"194","Hong Kong SkyCity Marriott Hotel","22.3192901611328","113.943565368652","SemiQuick","Outlying Islands","Outlying Islands","1 Sky City Rd E, Chek Lap Kok","Others","Tesla only","",0
"195","Hong Kong Wetland Park","22.4681568145752","114.003433227539","SemiQuick","New Territories","Yuen Long","Wetland Park Rd, Tin Shui Wai","Others","","",0
"196","Hotel Icon","22.3008308410645","114.178642272949","SemiQuick","Kowloon","Yau Tsim Mong","17 Science Museum Road, Tsim Sha Tsui","Others","Tesla only","",0
"197","Hotel Panorama by Rhombus","22.2976894378662","114.174591064453","SemiQuick","Kowloon","Yau Tsim Mong","8A Hart Ave, Tsim Sha Tsui","Others","Tesla only","",0
"198","InterContinental Grand Stanford Hong Kong","22.2990283966064","114.178215026855","SemiQuick","Kowloon","Yau Tsim Mong","70 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"199","International Commerce Centre","22.3038120269775","114.160415649414","SemiQuick","Kowloon","Yau Tsim Mong","1 Austin Rd W, West Kowloon","Others","","",0
"200","Le Meridien Cyberport","22.2617301940918","114.129173278809","SemiQuick","Hong Kong Island","Southern","100 Cyberport Rd, Hong Kong","Others","Tesla only","",0
"201","Lee Garden 1","22.2782039642334","114.184913635254","SemiQuick","Hong Kong Island","Wan Chai","33 Hysan Ave, Causeway Bay","Others","","",0
"202","Lee Garden 2","22.2782363891602","114.186065673828","SemiQuick","Hong Kong Island","Wan Chai","2-38 Yun Ping Rd, Causeway Bay","Others","","",0
"203","Lee Garden 2","22.2782363891602","114.186065673828","Quick","Hong Kong Island","Wan Chai","2-38 Yun Ping Rd, Causeway Bay","Others","Tesla only","",0
"204","Leighton Centre","22.2780246734619","114.183151245117","SemiQuick","Hong Kong Island","Wan Chai","77 Leighton Rd, Causeway Bay","Others","","",0
"205","L'hotel elan","22.3140125274658","114.219230651855","SemiQuick","Kowloon","Kwun Tong","38 Chong Yip Street, Ngau Tau Kok","Others","Tesla only","",0
"206","L'hotel Island South","22.2500247955322","114.168029785156","SemiQuick","Hong Kong Island","Southern","55 Wong Chuk Hang Rd, Aberdeen","Others","Tesla only","",0
"207","Lions Rise","22.3398857116699","114.196968078613","SemiQuick","Kowloon","Wong Tai Sin","8 Muk Lun Street, Wong Tai Sin","Others","","",0
"208","Lodgewood","22.3212547302246","114.164367675781","SemiQuick","Kowloon","Yau Tsim Mong","1131 Canton Rd, Mong Kok","Others","Tesla only","",0
"209","Mira Moon Hotel","22.2797737121582","114.17894744873","SemiQuick","Hong Kong Island","Wan Chai","388 Jaffe Road, Causeway Bay","Others","Tesla only","",0
"210","Ocean Park Hong Kong","22.2483463287354","114.174369812012","SemiQuick","Hong Kong Island","Southern","Ocean Park Road, Wong Chuk Hang","Others","","",0
"211","Oi Man Plaza","22.3136730194092","114.177825927734","Quick","Kowloon","Kowloon City","60 Chung Hau Street, Ho Man Tin","Others","BYD only","",0
"212","Olympian City 3","22.3170890808105","114.165306091309","Standard","Kowloon","Yau Tsim Mong","1 Hoi Wang Rd, Tai Kok Tsui","Others","","",0
"213","One Island South","22.2487468719482","114.166770935059","Standard","Hong Kong Island","Southern","2 Heung Yip Rd, Wong Chuk Hang","Others","","",0
"214","One Midtown","22.3725452423096","114.105422973633","Standard","New Territories","Tsuen Wan","11 Hoi Shing Rd, Tsuen Wan","Others","","",0
"215","One Pacific Place","22.2778816223145","114.166595458984","Quick","Hong Kong Island","Central and Western","88 Queensway, Admiralty","Others","","",0
"216","One Peking","22.2958583831787","114.169311523438","SemiQuick","Kowloon","Yau Tsim Mong","1 Peking Rd, Tsim Sha Tsui","Others","","",0
"217","Regal Airport Hotel","22.3194007873535","113.934501647949","SemiQuick","Outlying Islands","Outlying Islands","9 Cheong Tat Rd, Chek Lap Kok","Others","Tesla only","",0
"218","Regal Hong Kong Hotel","22.2789096832275","114.186737060547","SemiQuick","Hong Kong Island","Wan Chai","88 Yee Wo Street, Causeway Bay","Others","Tesla only","",0
"219","Regal Kowloon Hotel","22.2989234924316","114.177551269531","SemiQuick","Kowloon","Yau Tsim Mong","71 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"220","Regal Oriental Hotel","22.3301620483398","114.192749023438","SemiQuick","Kowloon","Kowloon City","30 Sa Po Road, Kowloon City","Others","Tesla only","",0
"221","Regal Riverside Hotel","22.3822288513184","114.196907043457","SemiQuick","New Territories","Shatin","34-36 Tai Chung Kiu Road, Shatin","Others","Tesla only","",0
"222","Royal Garden Hotel","22.298656463623","114.177337646484","SemiQuick","Kowloon","Yau Tsim Mong","69 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"223","Royal Park Hotel","22.3795566558838","114.188835144043","SemiQuick","New Territories","Shatin","8 Pak Hok Ting Street, Shatin","Others","Tesla only","",0
"224","Royal Plaza Hotel","22.3247966766357","114.173179626465","SemiQuick","Kowloon","Yau Tsim Mong","193 Prince Edward Road West, Kowloon","Others","Tesla only","",0
"225","Royal View Hotel","22.3691787719727","114.078132629395","SemiQuick","New Territories","Tsuen Wan","353 Castle Peak Road, Ting Kau, Tsuen Wan","Others","Tesla only","",0
"226","Sun Hung Kai Centre","22.2801170349121","114.176582336426","SemiQuick","Hong Kong Island","Wan Chai","Harbour Rd, Wan Chai","Others","Tesla only","",0
"227","Tai Tong Lychee Garden","22.4135494232178","114.025596618652","Quick","New Territories","Yuen Long","Tai Tong Shan Rd, Yuen Long","Others","","",0
"228","The Pulse","22.2359619140625","114.197891235352","SemiQuick;Quick","Hong Kong Island","Southern","28 Beach Rd, Repulse Bay","Others","","",0
"229","The Wings 2","22.3084621429443","114.260925292969","SemiQuick","New Territories","Sai Kung","12 Tong Chun Street, Tseung Kwan O","Others","","",0
"230","V City","22.3958740234375","113.97184753418","SemiQuick","New Territories","Tuen Mun","83 Heung Sze Wui Road, Tuen Mun","Others","","",0
"231","W Hong Kong","22.3046779632568","114.160247802734","SemiQuick","Kowloon","Yau Tsim Mong","1 Austin Road West, Kowloon Station, West Kowloon","Others","Tesla only","",0
"232","Yoho Mall Phase I","22.4426822662354","114.036911010742","Quick","New Territories","Yuen Long","9 Yuen Lung Street, Yuen Long","Others","","",0
"233","Yoho Mall Phase II","22.4456615447998","114.033630371094","Quick","New Territories","Yuen Long","8 Long Yat Road, Yuen Long","Others","","",0
"234","Heung Yee Kuk Building","22.3903503417969","114.206146240234","Quick","New Territories","Shatin","30 On Muk Street, Shek Mun, Shatin, N.T.","CLP","16, 17","\n/EV/PublishingImages/Station%20Photos/Heung%20Yee%20Kuk.jpg\n",0
"235","Sunshine City Phase 4","22.4242649078369","114.233268737793","Quick","New Territories","Shatin","26 On Shing Street, Ma On Shan, N.T.","CLP","268, 269, 283, 284","\n/EV/PublishingImages/Station%20Photos/Sunshine%20City.jpg\n",0
"236","\nJockey Club Kau Sai Chau Golf Course Public Car Park\n","22.3847637176514","114.276702880859","Quick","New Territories","Sai Kung","\nJockey Club Kau Sai Chau Golf Course Public Car Park, G/F, 18 Wai Man Road, Sai Kung\n","CLP","1-3","\n/EV/PublishingImages/Station%20Photos/Kau%20Sai%20Chau.JPG\n",0
"237","Wah Sum Car Park","22.486665725708","114.143257141113","Quick","New Territories","North","\nWah Sum Shopping Centre, 18 Yat Ming Road, Fanling, New Territories\n","CLP","3-5","\n/EV/PublishingImages/Station%20Photos/Wah%20Sum.JPG\n",0
"238","Cheung On Estate","22.360803604126","114.104461669922","Quick","New Territories","Kwai Tsing","\nL1/F, Cheung On Estate Carpark, 1 Tam Kon Shan Road, Nga Ying Chau, Tsing Yi, N.T.\n","CLP","P119, P120","\n/EV/PublishingImages/Station%20Photos/Cheung%20On.jpg\n",0
"239","Ocean Terminal","22.2956142425537","114.169326782227","Quick","Kowloon","Yau Tsim Mong","\nOcean Terminal Carpark (Harbour City), 4/F 3-27 Canton Rd, Tsimshatsui, Kln\n","CLP","1248-1249, 1349","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg\n",0
